檔名,緯度,經度,方位角,Roll,Pitch,altitude
1.jpg,23.8518695,120.9018341,6.58,0.14,1.46,303.77
2.jpg,23.8522810,120.9021166,5.77,-2.24,4.22,301.15
3.jpg,23.8527731,120.9024176,357.26,0.62,7.87,297.61
4.jpg,23.8532626,120.9026811,353.86,-0.33,5.85,300.09
5.jpg,23.8537305,120.9029027,354.87,3.9,5.09,299.29
6.jpg,23.8542253,120.9030747,338.57,0.19,9.69,301.22
7.jpg,23.8546549,120.9031622,334.68,-0.47,2.6,301.67
8.jpg,23.8550658,120.9032124,329.93,1.09,2.4,303.56
9.jpg,23.8554357,120.9032512,325.11,0.83,-0.25,302.98
10.jpg,23.8558214,120.9032908,329.97,2.75,2.14,301.77
11.jpg,23.8562100,120.9033380,329.54,0.4,1.46,299.2
12.jpg,23.8566531,120.9033812,331.04,1.31,4.69,299.84
13.jpg,23.8571093,120.9034260,333.02,1.95,4.3,299.08
14.jpg,23.8575622,120.9034782,334.99,1.65,3.39,300.29
15.jpg,23.8580290,120.9035330,335.97,-0.09,3.83,299.09
16.jpg,23.8585140,120.9035716,337.39,0.61,9.03,296.73
17.jpg,23.8587044,120.9035864,340.58,2.13,9.62,297.44
18.jpg,23.8590966,120.9033111,264.27,-5.71,-0.49,304.55
19.jpg,23.8591437,120.9030335,255.54,0.5,-2.13,304.29
20.jpg,23.8591538,120.9027829,259.35,2.03,-2.6,302.7
21.jpg,23.8591644,120.9024984,264.85,2.76,0.79,300.71
22.jpg,23.8591951,120.9021965,268.62,0.7,5.53,297.56
23.jpg,23.8609440,120.9017801,358.99,1.97,6.22,298.12
24.jpg,23.8620260,120.9037706,100.41,1.5,7.57,302.66
25.jpg,23.8619840,120.9043204,101.36,1.12,7.26,303.34
26.jpg,23.8619744,120.9044103,104.21,0.12,6.53,303.93
27.jpg,23.8619332,120.9049468,92.62,-1.24,1.91,303.88
28.jpg,23.8619088,120.9053983,86.26,0.84,1.31,302.27
29.jpg,23.8609851,120.9063569,203.76,6.6,-4.48,303.93
30.jpg,23.8606808,120.9062972,223.67,3.58,-4.75,303.89
31.jpg,23.8603732,120.9061990,228.95,-0.95,-2.68,302.4
